Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,Variety_labeled,Class_labeled,Size_labeled,Package_labeled,Market_labeled
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,110,18920,172,183,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,127,24520,193,144,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,130,19370,149,204,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,120,30120,251,405,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,CRATE,20,150,3000,20,328,CAP,1,0,0,1,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,197,613680,3108,7592,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,CRATE,20,152,30400,200,50,CAP,1,0,1,1,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,173,147020,848,5242,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,139,37908,271,3241,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,170,41700,245,7128,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,167,52210,311,4471,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,130,42770,329,2201,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,160,7040,44,575,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,101,14000,138,721,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,150,2700,18,355,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,145,14500,100,337,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,110,23760,216,353,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,100,15000,150,656,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,CRATE,20,210,420,2,348,CAP,1,0,0,1,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,190,768415,4025,8550,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,174,355450,2036,4690,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,STANDARD TRAY,2,50,100,2,0,CAP,1,0,2,2,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,143,118534,828,2562,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,161,578650,3586,6573,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,153,208310,1353,3832,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,150,57300,382,2330,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,140,280,2,18,CAP,0,1,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,181,228125,1259,6981,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,159,143950,900,2635,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,124,34894,281,614,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,173,28360,163,7562,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,159,16700,105,4008,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,135,27890,206,822,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,EXTRA LARGE,BANANA BOX,18,130,17550,135,184,CAP,0,1,0,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,120,13080,109,278,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 2,MEDIUM,BANANA BOX,18,110,19800,180,20,CAP,0,1,2,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,140,28980,207,78,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,130,26390,203,54,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,120,24000,200,53,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,179,607840,3381,7918,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,162,288355,1777,3485,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,134,94118,702,895,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,180,88970,493,7222,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,154,35140,228,3881,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,132,47690,359,943,CAP,1,1,2,0,0
FINGERS (SINGLE),CLASS 2,LARGE,BANANA BOX,18,120,240,2,359,CAP,0,1,1,0,0
FINGERS (SINGLE),CLASS 1,EXTRA LARGE,BANANA BOX,18,120,6000,50,231,CAP,0,0,0,0,0
FINGERS (SINGLE),CLASS 1,LARGE,BANANA BOX,18,110,5500,50,203,CAP,0,0,1,0,0
FINGERS (SINGLE),CLASS 1,MEDIUM,BANANA BOX,18,100,5000,50,200,CAP,0,0,2,0,0
HANDS,CLASS 1,EXTRA LARGE,BANANA BOX,18,175,825160,4689,10699,CAP,1,0,0,0,0
HANDS,CLASS 1,LARGE,BANANA BOX,18,157,328500,2092,4916,CAP,1,0,1,0,0
HANDS,CLASS 1,MEDIUM,BANANA BOX,18,127,104354,821,1545,CAP,1,0,2,0,0
HANDS,CLASS 2,EXTRA LARGE,BANANA BOX,18,161,285310,1765,7465,CAP,1,1,0,0,0
HANDS,CLASS 2,LARGE,BANANA BOX,18,134,163810,1215,4009,CAP,1,1,1,0,0
HANDS,CLASS 2,MEDIUM,BANANA BOX,18,129,147110,1132,1198,CAP,1,1,2,0,0
