Variety,Class,Size,Package,Unit,Price,Total Sales,Sales Quantity,Closing Stock,Market,variety_labeled,class_labeled,size_labeled,package_labeled,market_labeled,kg_price
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,65,390,6,146,BLO,8,0,4,0,0,7.22
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,236,3080,13,446,BLO,11,1,1,1,0,13.11
TOP RED,CLASS 1,SMALL,ECONOMIC PACK,12,192,4048,21,23,BLO,11,1,3,2,0,16.0
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,66,528,8,37,BLO,11,0,2,0,0,7.33
BRAEBURN,CLASS 1,LARGE,CARTON,18,115,230,2,28,BLO,0,1,2,1,0,6.39
CRIPPS PINK,CLASS 1,SMALL,CARTON,18,95,5750,60,26,BLO,1,1,3,1,0,5.28
CRIPPS RED,CLASS 1,LARGE,CARTON,18,180,180,1,7,BLO,2,1,2,1,0,10.0
CRIPPS RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,70,3370,48,379,BLO,2,0,2,0,0,7.78
FUJI,CLASS 1,EXTRA LARGE,CARTON,18,180,1260,7,47,BLO,3,1,1,1,0,10.0
FUJI,CLASS 1,MEDIUM,CARTON,18,120,240,2,14,BLO,3,1,4,1,0,6.67
FUJI,CLASS 1,SMALL,CARTON,18,160,160,1,15,BLO,3,1,3,1,0,8.89
FUJI,CLASS 2,EXTRA LARGE,CARTON,18,123,123,1,41,BLO,3,0,1,1,0,6.83
FUJI,CLASS 2,LARGE,CARTON,18,40,520,13,56,BLO,3,0,2,1,0,2.22
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,68,7043,103,251,BLO,3,0,4,0,0,7.56
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,68,16044,235,102,BLO,3,0,0,0,0,7.56
FUJI,CLASS 2,SMALL,QUARTER POCKET,3,26,2759,106,14,BLO,3,0,3,3,0,8.67
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,235,11290,48,66,BLO,4,1,1,1,0,13.06
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,224,26730,119,52,BLO,4,1,2,1,0,12.44
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,12,477,39,239,BLO,4,0,3,3,0,4.0
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,78,14732,188,572,BLO,4,0,4,0,0,8.67
GOLDEN DELICIOUS,CLASS 2,SMALL,DOMPLE JUMBLE,9,70,19290,272,88,BLO,4,0,3,0,0,7.78
GRANNY SMITH,CLASS 2,LARGE,CARTON,18,140,280,2,27,BLO,5,0,2,1,0,7.78
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,145,290,2,252,BLO,5,1,1,1,0,8.06
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,188,10760,57,32,BLO,5,1,2,1,0,10.44
GRANNY SMITH,CLASS 1,MEDIUM,ECONOMIC PACK,12,106,1488,14,79,BLO,5,1,4,2,0,8.83
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,61,2653,43,438,BLO,5,0,2,0,0,6.78
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,54,164,3,451,BLO,5,0,4,0,0,6.0
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,57,7100,124,393,BLO,6,0,4,0,0,6.33
RED DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,160,160,1,39,BLO,12,1,1,1,0,8.89
RED DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,2310,33,15,BLO,12,0,4,0,0,7.78
ROME BEAUTY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,55,2340,42,99,BLO,13,0,4,0,0,6.11
ROYAL BEAUT,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,80,7920,99,30,BLO,7,0,4,0,0,8.89
ROYAL GALA,CLASS 1,SMALL,CARTON,18,150,750,5,44,BLO,8,1,3,1,0,8.33
ROYAL GALA,CLASS 1,SMALL,ECONOMIC PACK,12,123,12108,98,30,BLO,8,1,3,2,0,10.25
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,77,6086,79,152,BLO,8,0,4,0,0,8.56
STARKING,CLASS 1,LARGE,CARTON,18,171,11500,67,45,BLO,9,1,2,1,0,9.5
SUNDOWNER,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,210,3,70,BLO,10,0,4,0,0,7.78
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,235,5190,22,459,BLO,11,1,1,1,0,13.06
TOP RED,CLASS 1,SMALL,ECONOMIC PACK,12,188,15832,84,44,BLO,11,1,3,2,0,15.67
TOP RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,75,455,6,45,BLO,11,0,2,0,0,8.33
BRAEBURN,CLASS 1,LARGE,CARTON,18,84,420,5,32,BLO,0,1,2,1,0,4.67
CRIPPS PINK,CLASS 1,SMALL,CARTON,18,86,260,3,91,BLO,1,1,3,1,0,4.78
CRIPPS RED,CLASS 1,SMALL,ECONOMIC PACK,12,142,4418,31,86,BLO,2,1,3,2,0,11.83
CRIPPS RED,CLASS 2,LARGE,DOMPLE JUMBLE,9,75,975,13,510,BLO,2,0,2,0,0,8.33
FUJI,CLASS 1,EXTRA LARGE,CARTON,18,180,180,1,55,BLO,3,1,1,1,0,10.0
FUJI,CLASS 1,LARGE,CARTON,18,170,1700,10,22,BLO,3,1,2,1,0,9.44
FUJI,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,74,149,2,375,BLO,3,0,4,0,0,8.22
FUJI,CLASS 2,UNDER SIZE,DOMPLE JUMBLE,9,70,1340,19,338,BLO,3,0,0,0,0,7.78
FUJI,CLASS 2,SMALL,QUARTER POCKET,3,28,56,2,129,BLO,3,0,3,3,0,9.33
GALA,CLASS 1,SMALL,ECONOMIC PACK,12,116,116,1,10,BLO,14,1,3,2,0,9.67
GOLDEN DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,210,1680,8,18,BLO,4,1,1,1,0,11.67
GOLDEN DELICIOUS,CLASS 1,LARGE,CARTON,18,215,3010,14,86,BLO,4,1,2,1,0,11.94
GOLDEN DELICIOUS,CLASS 2,SMALL,QUARTER POCKET,3,21,196,9,296,BLO,4,0,3,3,0,7.0
GOLDEN DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,70,7350,105,13,BLO,4,0,4,0,0,7.78
GRANNY SMITH,CLASS 1,EXTRA LARGE,CARTON,18,141,990,7,343,BLO,5,1,1,1,0,7.83
GRANNY SMITH,CLASS 1,LARGE,CARTON,18,120,120,1,189,BLO,5,1,2,1,0,6.67
GRANNY SMITH,CLASS 2,LARGE,CARTON,18,160,160,1,30,BLO,5,0,2,1,0,8.89
GRANNY SMITH,CLASS 2,MEDIUM,ECONOMIC PACK,12,112,224,2,18,BLO,5,0,4,2,0,9.33
GRANNY SMITH,CLASS 1,MEDIUM,ECONOMIC PACK,12,120,1320,11,96,BLO,5,1,4,2,0,10.0
GRANNY SMITH,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,60,2820,47,277,BLO,5,0,4,0,0,6.67
GRANNY SMITH,CLASS 2,LARGE,DOMPLE JUMBLE,9,63,1340,21,497,BLO,5,0,2,0,0,7.0
PINK LADY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,54,1360,25,540,BLO,6,0,4,0,0,6.0
RED DELICIOUS,CLASS 1,EXTRA LARGE,CARTON,18,160,640,4,50,BLO,12,1,1,1,0,8.89
RED DELICIOUS,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,72,864,12,60,BLO,12,0,4,0,0,8.0
ROME BEAUTY,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,62,1872,30,148,BLO,13,0,4,0,0,6.89
ROME BEAUTY,CLASS 2,SMALL,DOMPLE JUMBLE,9,65,260,4,0,BLO,13,0,3,0,0,7.22
ROYAL GALA,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,74,10719,143,253,BLO,8,0,4,0,0,8.22
ROYAL GALA,CLASS 2,SMALL,DOMPLE JUMBLE,9,60,5400,90,0,BLO,8,0,3,0,0,6.67
TOP RED,CLASS 1,EXTRA LARGE,CARTON,18,240,3600,15,160,BLO,11,1,1,1,0,13.33
TOP RED,CLASS 2,MEDIUM,DOMPLE JUMBLE,9,75,2030,27,0,BLO,11,0,4,0,0,8.33
BRAEBURN,CLASS 1,LARGE,CARTON,18,160,160,1,37,BLO,0,1,2,1,0,8.89
