Product,Variety,Class,Size,Package,Unit,Closing Price,High Price,Low Price,Average Price,Total Sales,Sales Quantity,Closing Stock,Market
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R124.14,R130.00,R120.00,R124.14,R38360,309,3724,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,2508,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.60,R220.00,R100.00,R148.60,R204920,1379,11816,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,CRATE,18.00 kg,R80.00,R80.00,R80.00,R80.00,R2960,37,0,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R126.18,R180.00,R100.00,R126.18,R96405,764,6714,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,869,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,CRATE,18.00 kg,R92.65,R100.00,R80.00,R92.65,R9080,98,22,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R124.14,R130.00,R120.00,R124.14,R38360,309,3724,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,2508,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R140.56,R150.00,R125.00,R140.56,R112590,801,3706,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.82,R140.00,R70.00,R122.82,R75660,616,3581,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R112.32,R120.00,R70.00,R112.32,R53690,478,2267,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R99.19,R100.00,R80.00,R99.19,R6150,62,535,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R120.92,R130.00,R120.00,R120.93,R6530,54,221,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R113.82,R120.00,R110.00,R113.83,R9220,81,256,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R73.15,R110.00,R70.00,R73.15,R14850,203,366,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.81,R220.00,R100.00,R148.82,R341830,2297,13068,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,450,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R124.95,R170.00,R90.00,R124.95,R277140,2218,7348,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R110.00,R110.00,R110.00,R110.00,R3300,30,900,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R113.90,R150.00,R90.00,R113.90,R154910,1360,4006,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R78.94,R110.00,R60.00,R78.94,R71760,909,3343,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,CLASS 2,MEDIUM,STANDARD TRAY,2.00 kg,R0.00,R0.00,R0.00,R�,R0,0,14,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,CLASS 1,MEDIUM,STANDARD TRAY,2.00 kg,R0.00,R0.00,R0.00,R�,R0,0,3,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R136.10,R150.00,R120.00,R136.11,R43690,321,3476,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R122.45,R140.00,R80.00,R122.45,R61105,499,3818,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R110.84,R120.00,R100.00,R110.84,R33585,303,2350,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R87.69,R100.00,R70.00,R87.69,R7980,91,865,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,129,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R160.00,R160.00,R160.00,R160.00,R320,2,107,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R100.00,R100.00,R100.00,R100.00,R500,5,313,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R154.62,R250.00,R130.00,R154.63,R155400,1005,11017,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R0.00,R0.00,R0.00,R�,R0,0,139,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R130.30,R220.00,R120.00,R130.31,R147770,1134,6938,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R140.00,R140.00,R140.00,R140.00,R2940,21,719,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R119.15,R140.00,R100.00,R119.15,R7030,59,4422,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,MEDIUM,PUNNET PACK (Pre Pack),16.00 kg,R85.49,R110.00,R40.00,R85.49,R10430,122,6031,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R148.44,R150.00,R140.00,R148.44,R61900,417,2778,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R136.64,R140.00,R110.00,R136.65,R67095,491,3025,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R118.85,R130.00,R110.00,R118.86,R37915,319,1241,Durban Fresh Produce Market (DUR)
BANANAS,LOWER GRADE BANANAS,NOT GRADED,SMALL,BANANA BOX,18.00 kg,R85.00,R85.00,R85.00,R85.00,R1700,20,634,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,129,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R150.00,R150.00,R150.00,R150.00,R150,1,109,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R82.82,R100.00,R75.00,R82.83,R6295,76,204,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R0.00,R0.00,R0.00,R�,R0,0,129,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,LARGE,BANANA BOX,18.00 kg,R150.00,R150.00,R150.00,R150.00,R150,1,109,Durban Fresh Produce Market (DUR)
BANANAS,FINGERS (SINGLE),NOT GRADED,MEDIUM,BANANA BOX,18.00 kg,R82.82,R100.00,R75.00,R82.83,R6295,76,204,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,BANANA BOX,18.00 kg,R166.98,R250.00,R100.00,R166.99,R274030,1641,9027,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,EXTRA LARGE,PUNNET PACK (Pre Pack),16.00 kg,R140.00,R140.00,R140.00,R140.00,R2520,18,139,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,BANANA BOX,18.00 kg,R136.40,R220.00,R80.00,R136.41,R124539,913,6325,Durban Fresh Produce Market (DUR)
BANANAS,HANDS,NOT GRADED,LARGE,PUNNET PACK (Pre Pack),16.00 kg,R110.00,R110.00,R110.00,R110.00,R2750,25,515,Durban Fresh Produce Market (DUR)
